nome,eps
Gintama: Yorinuki Gintama-san on Theater 2D,Movie (2 eps)
Hunter x Hunter,TV (62 eps)
Tian Guan Cifu,ONA (11 eps)
Wu Liuqi: Xuanwu Guo Pian,ONA (10 eps)
Kono Oto Tomare! Part 2,TV (13 eps)
Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,Movie (1 eps)
Koukaku Kidoutai: Stand Alone Complex,TV (26 eps)
Mononoke,TV (12 eps)
Mushishi Zoku Shou: Odoro no Michi,TV Special (1 eps)
Natsume Yuujinchou Movie: Utsusemi ni Musubu,Movie (1 eps)
Saenai Heroine no Sodatekata Fine,Movie (1 eps)
Jujutsu Kaisen 0 Movie,Movie (1 eps)
Saiki Kusuo no Ψ-nan,TV (120 eps)
Saiki Kusuo no Ψ-nan 2,TV (24 eps)
Chi. Chikyuu no Undou ni Tsuite,TV (25 eps)
Shingeki no Kyojin: Kuinaki Sentaku,OVA (2 eps)
Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou,Movie (1 eps)
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,TV (12 eps)
Kamisama Hajimemashita: Kako-hen,OVA (4 eps)
Natsume Yuujinchou Roku Specials,Special (2 eps)
Major S5,TV (25 eps)
Ramayana: The Legend of Prince Rama,Movie (1 eps)
Sayonara no Asa ni Yakusoku no Hana wo Kazarou,Movie (1 eps)
Shingeki no Kyojin Movie: Kanketsu-hen - The Last Attack,Movie (1 eps)
Vivy: Fluorite Eye's Song,TV (13 eps)
Yuru Camp△ Movie,Movie (1 eps)
Blue Giant,Movie (1 eps)
Girls Band Cry,TV (13 eps)
Houseki no Kuni,TV (12 eps)
Chihayafuru 2,TV (25 eps)
Cowboy Bebop: Tengoku no Tobira,Movie (1 eps)
Fruits Basket: Prelude,Movie (1 eps)
Gintama°: Aizome Kaori-hen,OVA (2 eps)
Josee to Tora to Sakana-tachi,Movie (1 eps)
Karakai Jouzu no Takagi-san 3,TV (12 eps)
Kaze ga Tsuyoku Fuiteiru,TV (23 eps)
Made in Abyss Movie 2: Hourou Suru Tasogare,Movie (1 eps)
Kara no Kyoukai Movie 7: Satsujin Kousatsu (Go),Movie (1 eps)
Mahou Shoujo Madoka★Magica,TV (12 eps)
Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,Movie (1 eps)
3-gatsu no Lion,TV (22 eps)
Barakamon,TV (12 eps)
Cross Game,TV (50 eps)
Haikyuu!! To the Top,TV (13 eps)
Tunshi Xingkong 3rd Season,ONA (33 eps)
Shinseiki Evangelion,TV (26 eps)
Tensei shitara Slime Datta Ken 2nd Season,TV (12 eps)
Kizumonogatari I: Tekketsu-hen,Movie (1 eps)
Kono Subarashii Sekai ni Shukufuku wo! 3,TV (11 eps)
Meitantei Conan Movie 26: Kurogane no Submarine,Movie (1 eps)
Mushoku Tensei: Isekai Ittara Honki Dasu,TV (11 eps)
Non Non Biyori Nonstop,TV (12 eps)
Gintama: Shiroyasha Koutan,Special (1 eps)
Baccano!,TV (13 eps)
Girls & Panzer: Saishuushou Part 4,Movie (1 eps)
Hellsing Ultimate,OVA (10 eps)
Initial D First Stage,TV (26 eps)
"Violet Evergarden: Kitto ""Ai"" wo Shiru Hi ga Kuru no Darou",Special (1 eps)
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,TV (12 eps)
K-On! Movie,Movie (1 eps)
Kaze no Tani no Nausicaä,Movie (1 eps)
Kimetsu no Yaiba: Mugen Ressha-hen,TV (7 eps)
Douluo Dalu 2nd Season,ONA (237 eps)
Fumetsu no Anata e,TV (20 eps)
IDOLiSH7 Third Beat! Part 2,TV (17 eps)
Versailles no Bara,TV (40 eps)
Violet Evergarden: Recollections,Special (1 eps)
Wu Shan Wu Xing: Xichuan Huan Zi Lin,ONA (4 eps)
Usagi Drop,TV (11 eps)
Kidou Senshi Gundam: The Origin,OVA (6 eps)
Natsume Yuujinchou: Itsuka Yuki no Hi ni,OVA (1 eps)
Psycho-Pass,TV (22 eps)
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,TV (13 eps)
Bakuman. 2nd Season,TV (25 eps)
Hibike! Euphonium 2,TV (13 eps)
86,TV (11 eps)
Ashita no Joe,TV (79 eps)
Bakemonogatari,TV (15 eps)
Dr. Stone: New World Part 2,TV (11 eps)
Fate/stay night: Unlimited Blade Works 2nd Season,TV (13 eps)
Seishun Buta Yarou wa Randoseru Girl no Yume wo Minai,Movie (1 eps)
Tunshi Xingkong 4th Season,ONA (123 eps)
Kiseijuu: Sei no Kakuritsu,TV (24 eps)
One Outs,TV (25 eps)
Kage no Jitsuryokusha ni Naritakute! 2nd Season,TV (12 eps)
Major S6,TV (25 eps)
Natsume Yuujinchou Go Specials,Special (2 eps)
NHK ni Youkoso!,TV (24 eps)
Romeo no Aoi Sora,TV (33 eps)
Ginga Eiyuu Densetsu: Die Neue These - Gekitotsu,Movie (12 eps)
Ginga Eiyuu Densetsu: Die Neue These - Sakubou,Movie (12 eps)
Hunter x Hunter: Original Video Animation,OVA (8 eps)
Sasaki to Miyano Movie: Sotsugyou-hen,Movie (1 eps)
Tensei shitara Slime Datta Ken 2nd Season Part 2,TV (12 eps)
Uchuu Senkan Yamato 2199,OVA (26 eps)
Tunshi Xingkong 2nd Season,ONA (26 eps)
Kaijuu 8-gou,TV (12 eps)
Katanagatari,TV (12 eps)
Kemono no Souja Erin,TV (50 eps)
Kingdom 2nd Season,TV (39 eps)
Luo Xiao Hei Zhan Ji (Movie),Movie (1 eps)
Natsume Yuujinchou,TV (13 eps)
Ookami to Koushinryou II,TV (12 eps)
Boku dake ga Inai Machi,TV (12 eps)
Diamond no Ace: Second Season,TV (51 eps)
Evangelion Movie 2: Ha,Movie (1 eps)
Given,TV (11 eps)
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,TV (11 eps)
Ao no Hako,TV (25 eps)
Beck,TV (26 eps)
Initial D Final Stage,TV (4 eps)
Steins;Gate: Oukoubakko no Poriomania,Special (1 eps)
Kuroko no Basket 3rd Season,TV (25 eps)
Meitantei Conan Movie 06: Baker Street no Bourei,Movie (1 eps)
Sakamichi no Apollon,TV (12 eps)
Kino no Tabi: The Beautiful World,TV (13 eps)
Major: World Series,OVA (2 eps)
Redline,Movie (1 eps)
Rurouni Kenshin: Meiji Kenkaku Romantan,TV (94 eps)
Doukyuusei,Movie (1 eps)
Ginga Eiyuu Densetsu: Die Neue These - Seiran 3,Movie (4 eps)
Gintama: Shinyaku Benizakura-hen,Special (1 eps)
Tokyo Godfathers,Movie (1 eps)
Yuukoku no Moriarty Part 2,TV (13 eps)
Shirobako,TV (24 eps)
Suzume no Tojimari,Movie (1 eps)
Tenki no Ko,Movie (1 eps)
Xian Ni,ONA (128 eps)
Yuru Camp△,TV (12 eps)
Koukaku Kidoutai,Movie (1 eps)
Naruto: Shippuuden,TV (500 eps)
Ore dake Level Up na Ken,TV (12 eps)
BanG Dream! Ave Mujica,TV (13 eps)
Diamond no Ace: Act II,TV (52 eps)
Doraemon Movie 31: Shin Nobita to Tetsujin Heidan - Habatake Tenshi-tachi,Movie (1 eps)
Dr. Stone,TV (24 eps)
Fate/Zero,TV (13 eps)
Gin no Saji 2nd Season,TV (11 eps)
Hotarubi no Mori e,Movie (1 eps)
Gyakkyou Burai Kaiji: Ultimate Survivor,TV (26 eps)
Hajime no Ippo: Champion Road,TV Special (1 eps)
"Shangri-La Frontier: Kusoge Hunter, Kamige ni Idoman to su 2nd Season",TV (25 eps)
Space☆Dandy 2nd Season,TV (13 eps)
Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero,TV Special (1 eps)
Tanoshii Muumin Ikka,TV (78 eps)
Tenkuu no Shiro Laputa,Movie (1 eps)
Tsubasa: Tokyo Revelations,OVA (3 eps)
Kage no Jitsuryokusha ni Naritakute!,TV (20 eps)
One Piece: Gyojin Tou-hen,TV (21 eps)
Kono Subarashii Sekai ni Shukufuku wo! 2,TV (10 eps)
Kuroshitsuji Movie: Book of the Atlantic,Movie (1 eps)
Nodame Cantabile,TV (23 eps)
Planetes,TV (26 eps)
Dororo,TV (24 eps)
Doupo Cangqiong 4th Season,ONA (24 eps)
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Shin Shou - Yakusai-hen,TV (11 eps)
Hunter x Hunter: Greed Island Final,OVA (14 eps)
Shinsekai yori,TV (25 eps)
Stranger: Mukou Hadan,Movie (1 eps)
Tonari no Totoro,Movie (1 eps)
World Trigger 3rd Season,TV (14 eps)
Sennen Joyuu,Movie (1 eps)
Meitantei Conan: Episode One - Chiisaku Natta Meitantei,TV Special (1 eps)
Non Non Biyori Movie: Vacation,Movie (1 eps)
Bocchi the Rock! Movie,Movie (2 eps)
Boku no Hero Academia 6th Season,TV (25 eps)
Golden Kamuy 2nd Season,TV (12 eps)
Gyakkyou Burai Kaiji: Hakairoku-hen,TV (26 eps)
Haikyuu!! Movie 4: Concept no Tatakai,Movie (1 eps)
Hajime no Ippo: Mashiba vs. Kimura,OVA (1 eps)
Bakemono no Ko,Movie (1 eps)
BanG Dream! It's MyGO!!!!!,TV (13 eps)
Boku no Kokoro no Yabai Yatsu,TV (12 eps)
