nome,eps
Strike the Blood: Valkyria no Oukoku-hen,OVA (2 eps)
Suki tte Ii na yo. Dareka ga,OVA (1 eps)
Super Lovers OVA,OVA (2 eps)
Suzumiya Haruhi no Yuuutsu (2009),TV (14 eps)
Tales of Zestiria the Cross,TV (12 eps)
Tales of Zestiria the Cross: Saiyaku no Jidai,Special (1 eps)
"Tearmoon Teikoku Monogatari: Dantoudai kara Hajimaru, Hime no Tensei Gyakuten Story",TV (12 eps)
Tenchi Souzou Design-bu: Idea 13,Special (1 eps)
Tibet Inu Monogatari,Movie (1 eps)
Abenobashi Mahou☆Shoutengai,TV (13 eps)
Boku no Hero Academia: Sukue! Kyuujo Kunren!,OVA (1 eps)
Cheburashka,Movie (1 eps)
Choujigen Game Neptune The Animation: Yakusoku no Eien - True End,OVA (1 eps)
Cosmic Baton Girl Comet-san☆,TV (43 eps)
Dantalian no Shoka,TV (12 eps)
Dr. Stone: Stone Wars - Kaisen Zenya Special Eizou,Special (1 eps)
Dragon Ball Super: Broly - Skytree Super,Special (1 eps)
Dragon Ball: Episode of Bardock,Special (1 eps)
ef: A Tale of Melodies. - Prologue,Special (1 eps)
Fairy Tail OVA (2016),OVA (3 eps)
Fate/kaleid liner Prisma☆Illya Movie: Licht - Namae no Nai Shoujo,Movie (1 eps)
Gamba no Bouken,TV (26 eps)
Gegege no Kitarou (2018),TV (97 eps)
Ginga Densetsu Weed,TV (26 eps)
Grancrest Senki,TV (24 eps)
Gugure! Kokkuri-san Specials,Special (11 eps)
Harmonie,Movie (1 eps)
Hataraku Saibou: Kaze Shoukougun,Special (1 eps)
Healin' Good♡Precure Movie: Yume no Machi de Kyun! Tto GoGo! Daihenshin!!,Movie (1 eps)
High School Fleet OVA,OVA (2 eps)
"Ijiranaide, Nagatoro-san",TV (12 eps)
Inferno Cop,ONA (13 eps)
Keroro Gunsou Movie 1,Movie (1 eps)
Kidou Senshi Gundam 0083: Stardust Memory,OVA (13 eps)
Kinnikuman,TV (137 eps)
Kiratto Pri☆chan Season 3,TV (51 eps)
Koukaku Kidoutai Arise: Alternative Architecture,TV (10 eps)
Kuroko no Basket: Oshaberi Demo Shimasen ka,Special (1 eps)
Kyoushoku Soukou Guyver (2005),TV (26 eps)
Long Zhi Gu: Poxiao Qibing,Movie (1 eps)
Mahoutsukai ni Taisetsu na Koto: Natsu no Sora,TV (12 eps)
Mainichi Kaasan,TV (142 eps)
Meikyuu Black Company,TV (12 eps)
Mermaid Melody Pichi Pichi Pitch Pure,TV (39 eps)
Miracle Giants Doumu-kun,TV (49 eps)
Mix: Meisei Story,TV (24 eps)
Nanatsu no Taizai: Imashime no Fukkatsu Joshou,Special (1 eps)
Pui Pui Molcar: Driving School,TV (12 eps)
Robot Carnival,OVA (1 eps)
Saiunkoku Monogatari Recaps,Special (9 eps)
Saiyuuki Gaiden: Kouga no Shou,OVA (1 eps)
Kara no Kyoukai Movie 8: Shuushou,Special (1 eps)
"Love Hina: Motoko no Sentaku, Koi ka Ken... ""Naku na""",Special (1 eps)
Lupin III (2015) Specials,Special (2 eps)
Lupin III: Chi no Kokuin - Eien no Mermaid,TV Special (1 eps)
Made in Abyss: Retsujitsu no Ougonkyou - Papa to Issho,Special (1 eps)
Mai Mai Shinko to Sennen no Mahou,Movie (1 eps)
Mayo Chiki!,TV (13 eps)
Michi (Movie),Movie (4 eps)
Midori no Hibi,TV (13 eps)
Nagasarete Airantou,TV (26 eps)
Needless,TV (24 eps)
Ookami Shoujo to Kuro Ouji: Gishinanki – Happening Kiss,OVA (1 eps)
Qi Hou Bilu,ONA (12 eps)
Saint Seiya: Shinku no Shounen Densetsu,Movie (1 eps)
Saint Seiya: Tenkai-hen Josou - Overture,Movie (1 eps)
Saiyuuki Reload Blast,TV (12 eps)
Selector Infected WIXOSS,TV (12 eps)
Shaman King Specials,Special (5 eps)
Shin Chou Kyou Ryo: Condor Hero III,TV (26 eps)
Shingeki! Kyojin Chuugakkou,TV (12 eps)
Soukou Kihei Votoms: Red Shoulder Document - Yabou no Roots,OVA (1 eps)
Spiral: Suiri no Kizuna,TV (25 eps)
Super Crooks,ONA (13 eps)
Sword Art Online,TV (25 eps)
Tegamibachi Gakuen,Special (25 eps)
Tengen Toppa Gurren Lagann Movie Zenyasai: Viral no Amai Yume,OVA (1 eps)
Toaru Kagaku no Accelerator,TV (12 eps)
Wan Jie Xian Zong 3rd Season,ONA (48 eps)
Young Black Jack,TV (12 eps)
Yu☆Gi☆Oh! Duel Monsters GX,TV (180 eps)
Zero no Tsukaima,TV (13 eps)
Air Movie,Movie (1 eps)
Ajin Part 2: Shoutotsu,Movie (1 eps)
Akuyaku Reijou nanode Last Boss wo Kattemimashita,TV (12 eps)
Amagami SS OVA,OVA (6 eps)
Amagi Brilliant Park: Nonbirishiteiru Hima ga Nai!,Special (1 eps)
Arabian Nights: Sindbad no Bouken (TV),TV (52 eps)
Binghuo Mochu,ONA (52 eps)
Black Jack Specials: Inochi wo Meguru Yottsu no Kiseki,TV Special (4 eps)
Boku no Hero Academia: Training of the Dead,OVA (1 eps)
Canaan,TV (13 eps)
Cat's Eye,TV (73 eps)
Code Geass: Boukoku no Akito 4 - Nikushimi no Kioku kara,Movie (1 eps)
Danganronpa 3: The End of Kibougamine Gakuen - Mirai-hen,TV (12 eps)
Darwin's Game,TV (11 eps)
Digimon Adventure tri. 6: Bokura no Mirai,Movie (1 eps)
Dirty Pair,TV (24 eps)
"Donten ni Warau Gaiden: Ouka, Tenbou no Kakehashi",Movie (1 eps)
Doraemon Movie 30: Nobita no Ningyo Daikaisen,Movie (1 eps)
Fuujin Monogatari,TV (13 eps)
Grisaia no Meikyuu: Caprice no Mayu 0 - Takizono Basketball Club no Nama Cream Party!,Special (1 eps)
Gundam Build Fighters Try,TV (25 eps)
Haiyore! Nyaruko-san W,TV (12 eps)
Hitsugi no Chaika,TV (12 eps)
Hokuto no Ken Movie,Movie (1 eps)
Hunter x Hunter Pilot,OVA (1 eps)
Inukami!,TV (26 eps)
Itai no wa Iya nanode Bougyoryoku ni Kyokufuri Shitai to Omoimasu. 2,TV (12 eps)
Accel World,TV (24 eps)
Arte,TV (12 eps)
Crayon Shin-chan Movie 12: Arashi wo Yobu! Yuuhi no Kasukabe Boys,Movie (1 eps)
Crayon Shin-chan Movie 28: Gekitotsu! Rakuga Kingdom to Hobo Yonin no Yuusha,Movie (1 eps)
Cyber City Oedo 808,OVA (3 eps)
Cybersix,TV (13 eps)
Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation,TV (13 eps)
Dead Dead Demons Dededede Destruction (OVA) Episode 0,OVA (1 eps)
Dead Leaves,Movie (1 eps)
Doraemon Movie 41: Nobita no Little Star Wars,Movie (1 eps)
Doraemon Movie 43: Nobita no Chikyuu Symphony,Movie (1 eps)
Doraemon: Nobita's the Night Before a Wedding,Movie (1 eps)
El Cazador de la Bruja,TV (26 eps)
Fate/kaleid liner Prisma☆Illya 2wei!,TV (10 eps)
Ginga e Kickoff!!,TV (39 eps)
Ginga Hyouryuu Vifam,TV (46 eps)
Goblin Slayer II,TV (12 eps)
Groove Adventure Rave,TV (51 eps)
Higurashi no Naku Koro ni Gou,TV (24 eps)
Higurashi no Naku Koro ni Kaku: Outbreak,OVA (1 eps)
Housekishou Richard-shi no Nazo Kantei,TV (12 eps)
Journey to Bloom,ONA (5 eps)
Kidou Senshi Gundam SEED Destiny Special Edition,TV Special (4 eps)
Love Hina Again,OVA (3 eps)
Lupin III: Part 6,TV (24 eps)
Mahou no Tenshi Creamy Mami,TV (52 eps)
Meitantei Conan OVA 08: Joshikousei Tantei Suzuki Sonoko no Jikenbo,OVA (1 eps)
Motto! Ojamajo Doremi: Kaeru Ishi no Himitsu,Movie (1 eps)
Moyashimon Returns,TV (11 eps)
Ojamajo Doremi Sharp Movie,Movie (1 eps)
One Piece Film: Gold Episode 0 - 711 ver.,ONA (1 eps)
Raise wa Tanin ga Ii,TV (12 eps)
Re:cycle of the Penguindrum,Movie (2 eps)
Rockman.EXE Movie: Hikari to Yami no Program,Movie (1 eps)
Saber Marionette J Again,OVA (6 eps)
Sankarea: Wagahai mo... Zombie de Aru...,Special (1 eps)
Selector Destructed WIXOSS Movie,Movie (1 eps)
Souten Kouro,TV (26 eps)
Super Robot Taisen OG: The Inspector,TV (26 eps)
Tenchi Muyou! in Love 2: Harukanaru Omoi,Movie (1 eps)
Tobe! Isami,TV (50 eps)
"Tokyo Ghoul: ""Pinto""",OVA (1 eps)
Uta no☆Prince-sama♪ Maji Love 2000%: Shining Star Xmas,Special (1 eps)
"Wake Up, Girls! Beyond the Bottom",Movie (1 eps)
Witchblade,TV (24 eps)
Zenshuu.,TV (12 eps)
Zhen Hun Jie 3rd Season,ONA (16 eps)
Zutto Mae kara Suki deshita. Kokuhaku Jikkou Iinkai,Movie (1 eps)
Sankarea OVA,OVA (2 eps)
Sentou Mecha Xabungle,TV (50 eps)
Sentou Yousei Yukikaze,OVA (5 eps)
Takanashi Rikka Kai: Chuunibyou demo Koi ga Shitai! Movie Lite,Special (1 eps)
Tantei Opera Milky Holmes Dai 2 Maku,TV (12 eps)
Tenchi Muyou! Ryououki 3rd Season: Tenchi Seirou naredo Namitakashi?,OVA (1 eps)
Tenkuu Senki Shurato,TV (38 eps)
The Cockpit,OVA (3 eps)
Uragiri wa Boku no Namae wo Shitteiru,TV (24 eps)
Video Girl Ai,OVA (6 eps)
Wuliao Jiu Wanjie,ONA (24 eps)
Xiong Shi Shaonian,Movie (1 eps)
Yeon-ae Halujeon Zero,ONA (19 eps)
Yes! Precure 5 GoGo! Movie: Okashi no Kuni no Happy Birthday,Movie (1 eps)
Yoru wa Neko to Issho,TV (30 eps)
Zhui Xu 2nd Season,ONA (16 eps)
Zoids Genesis,TV (50 eps)
Aikatsu Friends!,TV (50 eps)
Amagami SS+ Plus: Extra Episode+ Plus,Special (6 eps)
Basquash!,TV (26 eps)
Ben-To,TV (12 eps)
Brigadoon: Marin to Melan,TV (26 eps)
Cencoroll Connect,Movie (1 eps)
Darling in the FranXX,TV (24 eps)
Date A Live III,TV (12 eps)
Doraemon Movie 05: Nobita no Makai Daibouken,Movie (1 eps)
Dr. Slump: Arale-chan,TV (243 eps)
Fate/Apocrypha,TV (25 eps)
Figure 17: Tsubasa & Hikaru,TV (13 eps)
Futari wa Precure: Splash☆Star,TV (49 eps)
Galaxy Angel 4,TV (13 eps)
Girls & Panzer: Dai 63-kai Senshadou Zenkoku Koukousei Taikai Recap,ONA (1 eps)
Hakushaku to Yousei,TV (12 eps)
Hetalia: The World Twinkle,ONA (15 eps)
"Inari, Konkon, Koi Iroha.",TV (10 eps)
Jinrui wa Suitai Shimashita Specials,Special (6 eps)
Jormungand: Perfect Order Recap,Special (1 eps)
K: Seven Stories Movie 6 - Circle Vision - Nameless Song,Movie (1 eps)
Kaijuu no Kodomo,Movie (1 eps)
Kakegurui Twin,ONA (6 eps)
Kakegurui××,TV (12 eps)
Kanashimi no Belladonna,Movie (1 eps)
Koukaku Kidoutai: Stand Alone Complex - Tachikoma na Hibi (TV),TV (12 eps)
Kuroko no Basket: Oshaberi Shiyou ka,Special (1 eps)
Kuruneko,TV (50 eps)
Lady Georgie,TV (45 eps)
Ling Qi,ONA (20 eps)
Madou King Granzort,TV (41 eps)
Mahou Sensei Negima!: Mou Hitotsu no Sekai Extra - Mahou Shoujo Yue♥,OVA (1 eps)
Mahoutsukai Precure!! Mirai Days,TV (12 eps)
Mermaid Melody Pichi Pichi Pitch,TV (52 eps)
Nogizaka Haruka no Himitsu,TV (12 eps)
Oh! Edo Rocket,TV (26 eps)
One Piece: Episode of Sorajima,TV Special (1 eps)
One Piece: Nenmatsu Tokubetsu Kikaku! Mugiwara no Luffy Oyabun Torimonochou,TV Special (1 eps)
Plastic Neesan,ONA (12 eps)
Pokemon Movie 21: Minna no Monogatari,Movie (1 eps)
Re-Main,TV (12 eps)
Jashin-chan Dropkick Episode 12,ONA (1 eps)
Juu Ou Sei,TV (11 eps)
Kamichama Karin,TV (26 eps)
Kuroshitsuji Recap,TV Special (1 eps)
Kyou no 5 no 2,OVA (4 eps)
Kyou no 5 no 2 (TV),TV (13 eps)
Little Nemo,Movie (1 eps)
Meitantei Conan OVA 03: Conan to Heiji to Kieta Shounen,OVA (1 eps)
Mirai Nikki,OVA (1 eps)
Mondaiji-tachi ga Isekai kara Kuru Sou desu yo?: Onsen Manyuuki,OVA (1 eps)
Musekinin Kanchou Tylor OVA,OVA (10 eps)
One Piece: Episode of Alabasta - Prologue,TV Special (1 eps)
One Piece: Oounabara ni Hirake! Dekkai Dekkai Chichi no Yume!,TV Special (1 eps)
Owari no Seraph: Kyuuketsuki Shahar,OVA (1 eps)
Precure All Stars Movie DX2: Kibou no Hikari☆Rainbow Jewel wo Mamore!,Movie (1 eps)
Precure All Stars Movie New Stage: Mirai no Tomodachi,Movie (1 eps)
Puchimas!!: Petit Petit iDOLM@STER,ONA (74 eps)
Quanzhi Fashi,ONA (12 eps)
Red Shoes,Movie (1 eps)
Saiki Kusuo no Ψ-nan (ONA),ONA (1 eps)
Seikai no Senki Special,TV Special (1 eps)
Seimei no Kagaku: Micro Patrol,OVA (26 eps)
Shippuu! Iron Leaguer,TV (52 eps)
Star Driver: Kagayaki no Takuto,TV (25 eps)
Suisei no Gargantia Specials,Special (2 eps)
Tactics,TV (25 eps)
Taiho Shichau zo: Full Throttle,TV (23 eps)
Tatakau Shisho: The Book of Bantorra,TV (27 eps)
Tennis no Oujisama: Pair Prince,Special (8 eps)
Toushou Daimos,TV (44 eps)
UQ Holder! Mahou Sensei Negima! 2 OVA,OVA (3 eps)
Wagaya no Oinari-sama.,TV (24 eps)
Yaneura no Rudger,Movie (1 eps)
Yawara!: Zutto Kimi no Koto ga...,TV Special (1 eps)
Yes! Precure 5,TV (49 eps)
Yoru wa Neko to Issho Season 2,ONA (30 eps)
Youkai Apartment no Yuuga na Nichijou,TV (26 eps)
Yowamushi Pedal: Re:Generation,Movie (1 eps)
Yuu☆Yuu☆Hakusho: Eizou Hakusho - Ankoku Bujutsukai no Shou,OVA (2 eps)
07-Ghost,TV (25 eps)
Amagami SS: Tachibana Miya-hen - Imouto,Special (1 eps)
Ansatsu Kyoushitsu: Jump Festa 2013 Special,Special (1 eps)
Aoharu x Kikanjuu: Kemono-tachi no Senjou da na!,Special (1 eps)
Atri: My Dear Moments,TV (13 eps)
Bleach: Memories in the Rain,Special (1 eps)
Chuunibyou demo Koi ga Shitai! Ren Lite,ONA (6 eps)
Crayon Shin-chan Movie 24: Bakusui! Yumemi World Dai Totsugeki,Movie (1 eps)
Date A Live II,TV (10 eps)
Denki-gai no Honya-san,TV (12 eps)
Dimension W,TV (12 eps)
Druaga no Tou: The Sword of Uruk,TV (12 eps)
Ganbarist! Shun,TV (30 eps)
God Eater,TV (13 eps)
Hetalia: The World Twinkle Specials,Special (3 eps)
Hi no Ame ga Furu,Movie (1 eps)
Irregular Hunter X: The Day of Sigma,OVA (1 eps)
"Ano Natsu de Matteru: Bokutachi wa Koukou Saigo no Natsu wo Sugoshinagara, Ano Natsu de Matteiru.",Special (1 eps)
Ayashi no Ceres,TV (24 eps)
Baka to Test to Shoukanjuu: Spinout! Sore ga Bokura no Nichijou,Special (6 eps)
Bakuman. Deraman.,Special (2 eps)
Chuukan Kanriroku Tonegawa,TV (24 eps)
Crayon Shin-chan Movie 23: Ora no Hikkoshi Monogatari - Saboten Daisuugeki,Movie (1 eps)
Devilman: Tanjou-hen,OVA (1 eps)
Doraemon Movie 01: Nobita no Kyouryuu,Movie (1 eps)
Doraemon Movie 10: Nobita no Nippon Tanjou,Movie (1 eps)
Doraemon Movie 13: Nobita to Kumo no Oukoku,Movie (1 eps)
Doraemon Movie 14: Nobita to Buriki no Labyrinth,Movie (1 eps)
"Gyakuten Saiban: Sono ""Shinjitsu"", Igi Ari! Season 2",TV (23 eps)
Hakozume: Kouban Joshi no Gyakushuu,TV (13 eps)
Ihatov Gensou: Kenji no Haru,Movie (1 eps)
Kiddy Grade,TV (24 eps)
Kidou Senshi Gundam 00: Tenshi-tachi no Kiseki,Special (1 eps)
Kidou Senshi Gundam SEED Destiny,TV (50 eps)
Kimi no Iru Machi: Tasogare Kousaten,OVA (2 eps)
Kono Bijutsu-bu ni wa Mondai ga Aru!,TV (12 eps)
Le Chevalier D'Eon,TV (24 eps)
Love Hina Haru Special: Kimi Sakura Chiru Nakare!!,TV Special (1 eps)
Mikan Enikki,TV (30 eps)
Miracle☆Girls,TV (51 eps)
Munou na Nana,TV (13 eps)
Naruto SD: Rock Lee no Seishun Full-Power Ninden,TV (51 eps)
Naruto: Honoo no Chuunin Shiken! Naruto vs. Konohamaru!!,Movie (1 eps)
Nogizaka Haruka no Himitsu Purezza ♪,TV (12 eps)
One Piece Movie 07: Karakuri-jou no Mecha Kyohei,Movie (1 eps)
Ou Dorobou Jing,TV (13 eps)
Outbreak Company,TV (12 eps)
Pokemon Movie 05: Mizu no Miyako no Mamorigami Latias to Latios,Movie (1 eps)
Princess Nine: Kisaragi Joshikou Yakyuubu,TV (26 eps)
Rewrite 2nd Season,TV (11 eps)
Rurouni Kenshin Recap,TV Special (1 eps)
Sekirei: Pure Engagement Episode 0,Special (1 eps)
"Sengoku Basara Ni: Ryuko, Itadaki no Chikai! Atsuki Mirai e Kakeru Tamashii!!",Special (1 eps)
Shakugan no Shana-tan II (Second),Special (3 eps)
Shikabane Hime: Aka,TV (13 eps)
Shin Hakkenden,TV (26 eps)
Street Fighter II Movie,Movie (1 eps)
Tabisuru Nuigurumi: Traveling Daru,Movie (1 eps)
"Tensei Kizoku, Kantei Skill de Nariagaru",TV (12 eps)
Tensei shitara Slime Datta Ken 2nd Season: Kanwa - Veldora Nikki 2,TV Special (1 eps)
Tetsuwan Atom (1980),TV (52 eps)
The iDOLM@STER Shiny Festa,OVA (3 eps)
Thermae Romae Novae,ONA (11 eps)
Tokyo Majin Gakuen Kenpuuchou: Tou Dai Ni Maku,TV (12 eps)
Trapezium,Movie (1 eps)
Uta no☆Prince-sama♪ Maji Love 2000%,TV (13 eps)
Utawarerumono OVA,OVA (3 eps)
Wu Shan Wu Xing,ONA (1 eps)
Yes! Precure 5 GoGo!,TV (48 eps)
Zutto Mae kara Suki deshita. Kokuhaku Jikkou Iinkai: Kinyoubi no Ohayou,Special (1 eps)
Sarusuberi: Miss Hokusai,Movie (1 eps)
Shen Mu,ONA (16 eps)
Shin Shirayuki-hime Densetsu Prétear,TV (13 eps)
Sola,TV (13 eps)
Suu-funkan no Yell wo,Movie (1 eps)
Suzuka,TV (26 eps)
Tenchi Souzou Design-bu,TV (12 eps)
The iDOLM@STER Cinderella Girls,TV (13 eps)
The iDOLM@STER Prologue SideM: Episode of Jupiter,Special (1 eps)
Tokimeki Tonight,TV (34 eps)
Ushio to Tora,OVA (10 eps)
Yuu☆Yuu☆Hakusho: Meikai Shitou-hen - Honoo no Kizuna,Movie (1 eps)
Ajin OVA,OVA (2 eps)
Ao no Orchestra,TV (24 eps)
Area no Kishi,TV (37 eps)
Arifureta Shokugyou de Sekai Saikyou: Maboroshi no Bouken to Kiseki no Kaigou,OVA (1 eps)
Battle Spirits: Brave,TV (50 eps)
Boku no Hero Academia: Ikinokore! Kesshi no Survival Kunren,ONA (2 eps)
Choujigen Game Neptune The Animation OVA,OVA (3 eps)
Cyborg 009 (1979),TV (50 eps)
D.C.II S.S.: Da Capo II Second Season,TV (13 eps)
D.N.Angel,TV (26 eps)
Days,TV (24 eps)
Digimon Adventure tri. 5: Kyousei,Movie (1 eps)
Digimon Frontier,TV (50 eps)
Doraemon Movie 11: Nobita to Animal Planet,Movie (1 eps)
Genius Party Beyond,Movie (5 eps)
Gundam Build Fighters: GM no Gyakushuu,ONA (1 eps)
Hetalia Axis Powers Fan Disc,OVA (1 eps)
High Card,TV (12 eps)
Hitsugi no Chaika: Avenging Battle,TV (10 eps)
Karakuri Circus,TV (36 eps)
Kimi ga Nozomu Eien,TV (14 eps)
Kimi ni Todoke: Kataomoi,TV Special (1 eps)
"Konyaku Haki sareta Reijou wo Hirotta Ore ga, Ikenai Koto wo Oshiekomu",TV (12 eps)
Kujira no Kora wa Sajou ni Utau,TV (12 eps)
Mangaka-san to Assistant-san to The Animation Specials,Special (6 eps)
Masuda Kousuke Gekijou: Gag Manga Biyori,TV (12 eps)
Nobunaga no Shinobi: Ise Kanegasaki-hen,TV (26 eps)
One Piece: Umi no Heso no Daibouken-hen,TV Special (1 eps)
Papa no Iukoto wo Kikinasai!: Pokkapoka,Special (1 eps)
Phi Brain: Kami no Puzzle,TV (25 eps)
Precure All Stars Movie New Stage 2: Kokoro no Tomodachi,Movie (1 eps)
Rurouni Kenshin: Special Techniques,Special (1 eps)
Joukamachi no Dandelion,TV (12 eps)
Jun You Yun,ONA (24 eps)
Kai Byoui Ramune,TV (12 eps)
Kaze no Stigma,TV (24 eps)
Kekkai Sensen & Beyond: Zapp Renfro Ingaouhouchuu!!/Baccardio no Shizuku,OVA (1 eps)
Kikou Ryouhei Mellowlink,OVA (12 eps)
Kotoura-san,TV (12 eps)
Love Stage!!,TV (10 eps)
Lv1 Maou to One Room Yuusha,TV (12 eps)
Mahou Shoujo Madoka★Magica: Concept Movie,Movie (1 eps)
Muumin,TV (65 eps)
My Little Goat,Movie (1 eps)
Obey Me!,ONA (12 eps)
One Piece: Glorious Island,ONA (2 eps)
Ookami-san to Shichinin no Nakama-tachi,TV (12 eps)
Otonari ni Ginga,TV (12 eps)
Pokemon Movie 20: Kimi ni Kimeta!,Movie (1 eps)
Psycho-Pass: Sinners of the System Case.1 - Tsumi to Batsu,Movie (1 eps)
Pumpkin Scissors,TV (24 eps)
Slayers Premium,Movie (1 eps)
Spy Kyoushitsu 2nd Season,TV (12 eps)
SSSS.Gridman Movie,Movie (1 eps)
Sword Art Online Alternative: Gun Gale Online II,TV (12 eps)
Takt Op. Destiny,TV (12 eps)
Tantei Opera Milky Holmes Movie: Gyakushuu no Milky Holmes,Movie (1 eps)
Toaru Hikuushi e no Koiuta,TV (13 eps)
Ultra Maniac,TV (26 eps)
Vandread,TV (13 eps)
"Wake Up, Girls! Shichinin no Idol",Movie (1 eps)
Wan Jie Xian Zong 4th Season,ONA (48 eps)
Yao Shen Ji 6th Season,ONA (52 eps)
Ze Tian Ji 4th Season,ONA (12 eps)
Ze Tian Ji 5th Season,ONA (12 eps)
ACCA: 13-ku Kansatsu-ka - Regards,OVA (1 eps)
Ace wo Nerae! 2,OVA (13 eps)
Aoharu x Kikanjuu,TV (12 eps)
Arifureta Shokugyou de Sekai Saikyou 2nd Season,TV (12 eps)
B: The Beginning,ONA (12 eps)
Black Jack: Futari no Kuroi Isha,Movie (1 eps)
Blood-C: The Last Dark,Movie (1 eps)
Boogiepop wa Warawanai,TV (12 eps)
C: The Money of Soul and Possibility Control,TV (11 eps)
Cardfight!! Vanguard: Link Joker-hen,TV (59 eps)
ChroNoiR Episode.0,ONA (1 eps)
Cyborg Kuro-chan,TV (66 eps)
Dash! Kappei,TV (65 eps)
Date A Live,TV (12 eps)
Doraemon Movie 06: Nobita no Little Star Wars,Movie (1 eps)
Fate/kaleid liner Prisma☆Illya 2wei Herz!,TV (10 eps)
"Gaikotsu Kishi-sama, Tadaima Isekai e Odekakechuu",TV (12 eps)
Galaxy Angel Z,TV (9 eps)
Gear Fighter Dendoh,TV (38 eps)
Genshiken Nidaime OVA,OVA (1 eps)
Giant Gorg,TV (26 eps)
Gingitsune,TV (12 eps)
Guin Saga,TV (26 eps)
Hiiro no Kakera 2nd Season,TV (13 eps)
Hikikomari Kyuuketsuki no Monmon,TV (12 eps)
Holy Knight Light,ONA (1 eps)
Hoshikuzu Telepath,TV (12 eps)
Huyao Xiao Hongniang,ONA (13 eps)
4-nin wa Sorezore Uso wo Tsuku,TV (11 eps)
Aikatsu Friends!: Kagayaki no Jewel,TV (26 eps)
Aku no Hana,TV (13 eps)
Anyamal Tantei Kiruminzoo,TV (50 eps)
Beyblade Burst God,TV (51 eps)
Binghuo Mochu 2,ONA (104 eps)
Boku wa Tomodachi ga Sukunai,TV (12 eps)
Burn the Witch,ONA (3 eps)
Cencoroll,Movie (1 eps)
Chibi Revenger,ONA (24 eps)
Chuunibyou demo Koi ga Shitai! Ren Specials,Special (7 eps)
Class no Daikirai na Joshi to Kekkon suru Koto ni Natta.,TV (12 eps)
Doraemon Movie 03: Nobita no Daimakyou,Movie (1 eps)
Doraemon: The Day When I Was Born,Movie (1 eps)
Dragon Ball Movie 4: Saikyou e no Michi,Movie (1 eps)
Ensemble Stars!! Tsuioku Selection Checkmate,ONA (6 eps)
Fairy Tail x Rave,OVA (1 eps)
Fate/Grand Order: Zettai Majuu Sensen Babylonia - Initium Iter,Special (1 eps)
Fei Ren Zai,ONA (48 eps)
Haikara-san ga Tooru,TV (42 eps)
Hayate no Gotoku! Heaven Is a Place on Earth,Movie (1 eps)
Hentai Ouji to Warawanai Neko.,TV (12 eps)
Higurashi no Naku Koro ni Kai Specials,Special (24 eps)
K: Seven Stories Movie 3 - Side:Green - Uwagaki Sekai,Movie (1 eps)
Kiratto Pri☆chan,TV (51 eps)
Kyoukai no Rinne 2nd Season,TV (25 eps)
Long She Yanyi,ONA (16 eps)
Love Hina Final Selection,OVA (1 eps)
Mahou no Stage Fancy Lala,TV (26 eps)
Mahou Senshi Louie,TV (24 eps)
Mayonaka no Occult Koumuin: Hitoribocchi no Kyuuketsuki/Sakura no Mori no Mankai no Shita,OVA (2 eps)
Mojakou,TV (74 eps)
Neppuu Kairiku Bushi Road,TV Special (1 eps)
Ookiku Furikabutte: Natsu no Scorebook,OVA (2 eps)
"Ore no Nounai Sentakushi ga, Gakuen Love Comedy wo Zenryoku de Jama Shiteiru OVA",OVA (1 eps)
Planet With,TV (12 eps)
Ple Ple Pleiades × Kagejitsu!,ONA (1 eps)
PriPara Movie: Mi~nna de Kagayake! Kirarin☆Star Live!,Movie (1 eps)
Rockman.EXE Axess,TV (51 eps)
Sabikui Bisco,TV (12 eps)
"Sentouin, Haken shimasu!",TV (12 eps)
Shakugan no Shana: Koi to Onsen no Kougai Gakushuu!,OVA (1 eps)
Shin Captain Tsubasa,OVA (13 eps)
Show by Rock!! Stars!!,TV (12 eps)
Shuangsheng Lingtan,ONA (20 eps)
Sora no Method: Mou Hitotsu no Negai,ONA (1 eps)
Suki na Ko ga Megane wo Wasureta,TV (13 eps)
Takahashi Rumiko Gekijou,TV (13 eps)
Tamayura,OVA (4 eps)
Tears to Tiara,TV (26 eps)
Tenchi Muyou! GXP,TV (26 eps)
Terra Formars: Bugs 2-hen,OVA (2 eps)
To LOVE-Ru: Multiplication - Mae kara Ushiro kara,OVA (1 eps)
Tonkatsu DJ Agetarou,TV (12 eps)
Uta no☆Prince-sama♪ Maji Love Legend Star,TV (13 eps)
Uta no☆Prince-sama♪ Movie: Maji Love ST☆RISH Tours,Movie (1 eps)
Vampire in the Garden,ONA (5 eps)
Yu☆Gi☆Oh! Movie: Chou Yuugou! Toki wo Koeta Kizuna,Movie (1 eps)
Zettai Karen Children OVA: Aitazousei! Ubawareta Mirai?,OVA (1 eps)
Zhu Tian Ji,ONA (26 eps)
Seikai no Monshou Special,TV Special (1 eps)
Sengoku Basara: Setonai no Gekitotsu! Hi wo Fuku Umi no Daiyousai - Fugaku!!,Special (1 eps)
SSSS.Gridman,TV (12 eps)
Super Danganronpa 2.5: Komaeda Nagito to Sekai no Hakaisha,OVA (1 eps)
Tales of Symphonia The Animation: Sylvarant-hen,OVA (4 eps)
Terminator 0,ONA (8 eps)
The iDOLM@STER SideM,TV (13 eps)
Tokyo Marble Chocolate,OVA (2 eps)
